BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,12100,186062,227171,HomeImp,ProfExe,0,0,0,67.78085,,4,26.99053
0,12100,13218,82386,DebtCon,Other,7,0,0,262.3943,0,14,18.43047
0,12100,96439,126328,HomeImp,Mgr,3,0,3,156.3191,0,26,39.27931
0,12100,44484,64398,DebtCon,Other,3,0,0,263.0447,0,20,28.80398
1,12100,29097,72647,DebtCon,Other,8,,,109.5149,1,22,45.30476
0,12100,90917,102400,DebtCon,Sales,11,,2,159.8745,0,17,33.45373
0,12100,50100,66410,DebtCon,Other,3,0,0,176.0099,0,14,28.5486
0,12100,68941,75029,HomeImp,Office,14,0,0,254.1897,0,31,43.89785
0,12100,50150,65565,DebtCon,Other,4,0,0,166.2317,0,13,26.64432
0,12100,50973,74183,DebtCon,Mgr,6,,,122.6918,,24,41.12809
1,12100,22000,38750,DebtCon,Other,0.8,0,0,167.4,1,17,
0,12100,12000,33938,DebtCon,Mgr,9,0,0,118.7667,0,11,
0,12100,31400,48000,DebtCon,Other,6,1,0,107.5333,2,16,
1,12100,67000,79100,DebtCon,Mgr,5,0,0,155.2,1,32,
0,12100,67927,94126,DebtCon,Other,2,0,0,35.53888,2,3,38.8476
0,12100,,72731,,,0,0,0,,0,0,0.720295
0,12100,74594,90555,DebtCon,Mgr,4,0,0,123.7766,2,27,41.63485
0,12100,83557,98881,HomeImp,ProfExe,6,0,0,102.2257,1,26,25.78279
0,12100,61868,66874,HomeImp,Other,30,0,3,170.4386,0,23,37.91502
0,12100,46152,72773,DebtCon,Other,0,0,0,270.49,0,20,29.49512
0,12100,97185,113004,DebtCon,Other,13,0,0,202.6225,2,15,37.71665
0,12100,105104,144712,HomeImp,ProfExe,13,0,0,129.5188,5,22,37.41377
0,12100,71060,79744,DebtCon,Other,3,,,179.8663,,35,29.89415
0,12100,85121,113744,DebtCon,ProfExe,0,0,2,139.4853,0,34,33.94344
0,12100,28193,34705,DebtCon,Other,0,,,,,,37.61803
0,12100,18728,34443,DebtCon,Mgr,9,0,0,117.6483,0,10,21.58984
0,12100,55147,72553,DebtCon,Other,0,0,0,229.4062,0,10,35.86773
0,12100,48149,74539,DebtCon,ProfExe,17,0,0,200.0326,0,15,23.13097
0,12200,61929,83102,HomeImp,Office,14,0,0,238.5249,1,32,44.44967
0,12200,110088,137794,DebtCon,ProfExe,3,0,0,251.1519,1,46,33.51712
0,12200,57785,72971,DebtCon,Other,2,0,0,166.8995,1,16,34.70964
0,12200,67474,88473,DebtCon,Other,2,0,0,234.776,3,26,29.0973
0,12200,136866,162906,HomeImp,ProfExe,4,0,0,427.9236,0,43,30.18212
0,12200,80336,102618,HomeImp,ProfExe,2,0,0,79.73026,2,19,34.40548
1,12200,97000,109800,HomeImp,ProfExe,5,0,0,152.1333,3,33,
0,12200,91000,114053,DebtCon,Other,11,0,0,173.5,0,27,
0,12200,206613,232176,HomeImp,ProfExe,10,0,1,237.3158,0,22,30.68944
0,12200,45095,64736,DebtCon,Other,9,0,0,249.6738,0,18,31.6353
0,12200,70722,81760,DebtCon,Other,0,0,0,219.7853,3,26,30.27701
0,12200,199232,229929,HomeImp,ProfExe,11,0,0,223.4381,0,21,31.37027
0,12200,82904,125057,DebtCon,Office,8,0,0,131.6591,1,21,37.27314
0,12200,61302,90873,DebtCon,Other,2,0,0,35.97354,1,4,39.97361
0,12200,27118,87982,HomeImp,ProfExe,19,0,0,232.237,0,11,25.23544
1,12200,53242,70400,DebtCon,Other,14,0,0,169.9307,0,18,34.62943
0,12200,57112,76050,DebtCon,Other,1,0,0,235.2293,0,9,35.11319
0,12200,90154,110479,DebtCon,ProfExe,9,0,0,196.9264,2,37,43.18903
0,12200,86775,111572,DebtCon,ProfExe,0,1,1,138.6101,1,33,34.35181
0,12300,79838,85209,DebtCon,ProfExe,8,0,0,173.8386,0,11,37.82447
0,12300,114035,137208,DebtCon,ProfExe,15,,1,173.7143,0,33,32.05607
0,12300,89333,106107,HomeImp,Other,19,0,0,120.2579,3,24,28.7747
1,12300,24552,48278,DebtCon,Other,0,0,0,171.0751,0,16,29.29955
0,12300,61253,85825,DebtCon,Sales,5,0,0,130.0263,0,34,27.20338
0,12300,152107,179793,DebtCon,ProfExe,7,,1,212.783,3,25,43.1341
0,12300,48866,73023,HomeImp,Office,11,3,1,251.6291,1,29,32.87687
1,12300,48238,66603,HomeImp,Office,6,0,1,80.38898,1,11,40.0191
0,12300,112373,136202,DebtCon,ProfExe,16,,1,179.883,0,32,30.48827
0,12300,69499,104045,DebtCon,Other,8,0,0,219.0905,0,20,18.58476
0,12300,60200,77079,HomeImp,Office,13,0,0,242.2441,1,32,45.39417
0,12300,,50530,HomeImp,Mgr,5,,,163.541,,9,20.02628
1,12300,78000,101200,HomeImp,Other,0.4,0,0,145.0667,1,19,
1,12300,50230,70000,DebtCon,Sales,1,0,,184.3667,2,20,
1,12300,49800,64000,DebtCon,ProfExe,23,0,2,232.3333,3,17,
1,12300,77000,94000,DebtCon,Mgr,41,,4,212.8667,4,17,
0,12300,114457,144284,DebtCon,ProfExe,1,0,0,252.6593,0,45,32.49715
0,12300,52622,64407,DebtCon,Other,0,0,0,191.0774,1,13,26.20307
0,12300,152274,177940,HomeImp,Office,4,0,0,196.8768,0,56,33.72277
0,12300,27859,48393,HomeImp,Other,10,0,0,82.76016,0,3,34.38537
0,12300,90006,121122,DebtCon,Office,9,0,0,133.4975,1,21,36.91048
0,12300,159798,177853,DebtCon,ProfExe,6,,0,206.8171,4,25,41.42504
0,12300,81590,90050,DebtCon,Mgr,6,0,0,136.7468,1,26,41.73268
0,12300,35651,59795,HomeImp,Other,22,0,0,118.6531,0,23,40.66298
0,12300,50441,56656,DebtCon,Office,1,0,0,186.451,0,21,35.45261
0,12300,33061,46277,DebtCon,Other,8,,1,154.8993,7,28,39.70178
0,12300,102908,124217,HomeImp,ProfExe,9,0,0,159.994,2,31,27.70744
0,12300,141020,157511,HomeImp,ProfExe,4,0,1,403.7489,0,43,29.58318
0,12300,92573,119325,DebtCon,ProfExe,2,1,2,157.6206,0,33,34.7751
1,12300,73099,84250,DebtCon,ProfExe,4,,,,,,40.22228
1,12300,11300,39000,,Other,,5,1,170.4333,3,21,
0,12300,68024,78800,DebtCon,Sales,7,0,0,125.5041,0,35,29.29334
1,12300,64265,90956,DebtCon,Other,10,0,1,233.1561,0,32,32.90882
0,12400,132894,198168,HomeImp,Office,0,0,1,355.1639,0,16,40.5403
0,12400,31303,57444,,Other,29,0,0,246.7168,0,18,20.20591
0,12400,80510,97548,HomeImp,ProfExe,1,0,0,74.40426,1,19,36.45735
0,12400,137927,160566,HomeImp,ProfExe,6,0,1,436.7518,0,42,29.27256
1,12400,45604,65501,DebtCon,Other,9,0,1,70.33753,1,24,35.21218
0,12400,26768,52411,HomeImp,Other,0,0,0,253.318,0,11,38.82102
0,12400,203902,234454,HomeImp,ProfExe,9,0,0,213.4554,0,22,33.64852
0,12400,16375,36672,DebtCon,Mgr,8,0,0,120.6749,0,11,24.08944
0,12400,49264,57923,DebtCon,Other,0,0,0,182.001,2,13,27.00878
0,12400,36034,62953,DebtCon,ProfExe,9,0,0,262.0793,0,16,21.34523
0,12400,,69350,,,0,0,0,,0,0,2.365195
1,12400,94000,112000,DebtCon,Mgr,4,0,0,,0,0,
0,12400,115902,146813,DebtCon,ProfExe,1,0,0,288.4676,0,45,33.05428
0,12400,115004,144760,DebtCon,ProfExe,2,0,0,279.5222,1,46,35.61473
1,12400,57105,74582,DebtCon,Other,12,0,0,134.0318,0,20,36.92574
0,12400,34055,40739,DebtCon,Other,9,,0,147.0128,6,29,39.93095
1,12400,50573,84008,DebtCon,Other,15,1,0,76.04209,0,7,41.02797
0,12400,,65317,HomeImp,Other,,0,0,349.2796,0,6,35.71442
0,12400,25805,31414,DebtCon,Other,2,,,,,,38.23723
0,12400,24769,87665,HomeImp,ProfExe,21,0,0,238.3828,0,11,25.3322
0,12400,83018,96637,DebtCon,Other,2,0,0,95.90213,2,32,41.24478
0,12500,93538,118369,DebtCon,ProfExe,0,0,1,132.8237,0,33,34.83386
0,12500,37562,57081,HomeImp,Other,22,0,1,129.4868,0,23,39.083
1,12500,69117,101503,HomeImp,ProfExe,13,0,7,145.953,0,36,36.75998
0,12500,157312,181050,DebtCon,ProfExe,7,,0,209.7067,4,25,40.90562
0,12500,10035,61897,HomeImp,Other,6,1,1,368.7378,0,21,14.73359
0,12500,83276,129116,DebtCon,Office,7,0,0,138.688,0,22,39.58996
0,12500,57294,66615,DebtCon,Other,3,0,1,321.3876,0,9,31.3809
0,12500,101047,118913,HomeImp,Office,2,0,0,156.6055,1,22,35.89929
0,12500,56960,69014,DebtCon,Other,4,0,0,307.6367,0,10,30.36248
0,12500,83924,100114,HomeImp,ProfExe,0,0,0,71.3042,1,20,34.71277
0,12500,79900,94660,DebtCon,Mgr,19,0,0,252.3497,10,24,35.80049
0,12500,,52026,HomeImp,Mgr,6,,,173.7172,,8,21.6212
1,12500,41000,64680,DebtCon,Other,2,0,0,70.9,3,30,
1,12500,41301,60000,DebtCon,Other,2,0,0,77.23333,0,12,
1,12500,55000,75393,DebtCon,Other,0.75,0,1,113.0333,1,16,
0,12500,77100,90550,HomeImp,Office,,0,0,173.4667,1,26,
0,12500,71582,93400,DebtCon,Other,6,3,0,74.06667,1,21,
1,12500,53060,67500,DebtCon,Office,16,0,5,183.6333,0,15,
1,12500,69192,105300,DebtCon,Mgr,4,0,0,282.0333,1,23,
1,12500,62000,102600,HomeImp,Other,10,2,6,226.4333,4,42,
0,12500,50097,73846,DebtCon,Other,1,0,0,267.8655,0,20,29.15961
0,12500,77792,100812,DebtCon,ProfExe,10,2,0,182.957,1,29,27.38587
0,12500,53354,79893,HomeImp,Office,10,2,0,249.436,1,29,35.02089
0,12500,66163,83727,DebtCon,Office,4,1,2,176.9352,3,30,36.77464
0,12500,81865,101048,DebtCon,Other,1,0,0,147.4022,0,23,38.85516
0,12500,17659,31843,DebtCon,Office,7,0,1,107.7411,0,16,19.30085
0,12500,55228,66569,DebtCon,Mgr,3,0,0,198.8152,1,17,27.99687
0,12500,77937,89710,DebtCon,Mgr,19,0,0,223.5874,10,24,35.952
0,12500,26286,36002,DebtCon,Other,2,,,,,,38.43868
0,12500,,39200,HomeImp,Other,0,0,0,309.4,1,9,
0,12500,56791,72974,HomeImp,Other,29,0,3,182.0664,0,24,35.69162
0,12500,,,,,,,,,,,27.35264
0,12600,71370,90316,HomeImp,Office,26,0,0,162.3574,2,14,39.87548
0,12600,84933,110253,DebtCon,ProfExe,8,0,0,192.4226,1,37,40.84508
0,12600,80612,93802,DebtCon,Mgr,5,0,0,141.6131,2,26,40.74904
1,12600,68800,86000,DebtCon,Mgr,3,2,1,202.8667,8,26,
1,12600,41169.82,57000,DebtCon,Other,5.5,1,0,98.43333,10,18,
0,12600,83921,90876,DebtCon,Other,3,0,0,106.9374,1,32,41.473
0,12600,45633,77578,DebtCon,ProfExe,19,0,0,209.7255,0,15,23.91561
0,12600,103946,113900,DebtCon,Other,17,0,2,194.3599,1,16,36.41457
0,12600,125688,198602,HomeImp,Office,0,0,1,344.7479,0,16,39.48382
1,12600,86785,110400,DebtCon,Other,0.7,1,,89.06667,2,27,
1,12600,72854,86209,,ProfExe,2,0,0,118.0696,0,14,36.05149
0,12600,67860,103426,DebtCon,Other,9,0,0,202.1526,0,20,18.34753
0,12600,103960,127384,DebtCon,,2,0,0,129.0155,0,25,34.47945
0,12600,32742,41299,DebtCon,Other,10,,1,170.4071,7,29,37.80267
0,12600,25000,37882,HomeImp,Other,8.8,0,0,87.2,2,12,
1,12600,48983,65000,DebtCon,Other,5,1,0,58.7,7,23,
0,12600,62493,77141,,Other,13,0,0,266.3331,0,26,27.00787
0,12600,55415,74307,HomeImp,Other,29,1,2,198.8467,0,23,36.83774
0,12600,58247,72189,HomeImp,Other,30,0,3,198.2432,0,23,35.79426
0,12600,100590,138649,HomeImp,ProfExe,14,0,0,138.1647,4,22,34.59873
0,12600,85335,97094,DebtCon,Other,2,0,0,116.0866,1,32,40.84525
0,12600,83552,107186,HomeImp,Other,21,0,0,128.6602,4,24,28.72302
0,12600,37699,59874,HomeImp,Other,22,0,0,114.236,0,23,38.68268
0,12600,76002,94236,DebtCon,Other,11,0,0,164.7623,5,21,39.5257
0,12600,49986,67896,DebtCon,Mgr,3,0,0,190.1599,1,17,29.26632
0,12700,204038,230920,HomeImp,ProfExe,10,0,0,242.9129,0,22,29.80163
0,12700,79448,91004,DebtCon,Mgr,20,0,0,227.5074,10,23,34.4643
0,12700,149272,176467,HomeImp,Office,7,0,0,191.9045,1,55,33.90232
0,12700,29471,48362,HomeImp,Other,9,0,0,79.90287,0,4,36.02061
0,12700,72760,83604,DebtCon,Office,6,2,3,189.9194,3,29,37.36856
0,12700,,41396,HomeImp,Other,0,0,0,302.8701,1,8,27.98947
0,12700,79383,107590,DebtCon,Other,5,0,0,78.29927,2,14,33.58112
1,12700,30428,47387,DebtCon,ProfExe,2,0,0,164.49,0,36,38.87416
0,12700,103034,124116,DebtCon,,2,0,0,137.4387,0,25,31.6031
0,12700,58293,82594,DebtCon,Office,13,0,0,105.0504,0,23,36.70045
0,12700,30061,58714,,Other,29,0,0,230.8802,0,19,20.63792
0,12700,27459,38577,HomeImp,Mgr,16,0,0,72.32957,0,9,31.60567
0,12700,77068,98436,HomeImp,ProfExe,7,0,1,148.2881,0,34,33.4637
0,12700,130867,201245,HomeImp,Office,0,0,1,340.7953,0,15,40.16883
0,12700,61840,73541,DebtCon,ProfExe,1,0,0,157.8924,2,35,41.65169
0,12700,79898,101989,DebtCon,ProfExe,9,2,0,214.9965,1,29,29.30607
0,12700,105293,121416,,Office,14,0,0,250.0189,0,16,35.28717
0,12700,60122,93741,DebtCon,Other,0,0,0,38.33492,1,3,42.10935
0,12700,72164,104220,DebtCon,Office,10,0,0,165.4308,0,13,37.53996
0,12700,48139,64842,DebtCon,Other,0,1,0,192.4792,2,13,26.54684
0,12700,9038,65969,HomeImp,Other,7,1,1,346.5801,0,22,13.34721
0,12700,59440,88690,DebtCon,Other,0,0,0,129.1526,3,11,37.83827
0,12700,53199,82567,HomeImp,Other,3,0,1,185.325,0,13,27.39038
0,12700,58606,83010,DebtCon,Other,1,0,0,125.3259,3,11,35.99961
0,12700,159661,183244,DebtCon,ProfExe,7,,1,210.1152,4,26,43.76819
0,12700,107653,129752,HomeImp,ProfExe,8,0,0,181.0273,2,32,29.46672
0,12700,37346,53511,HomeImp,Other,23,0,0,136.9569,0,22,39.43166
0,12800,99160,114619,HomeImp,Office,2,0,0,142.2126,0,22,35.94988
0,12800,66293,92423,HomeImp,Office,27,0,0,169.7239,1,14,41.23216
0,12800,117391,210072,HomeImp,ProfExe,1,0,0,136.621,1,14,27.12489
0,12800,54546,62906,DebtCon,Mgr,3,0,0,175.5199,1,16,28.64819
0,12800,49349,70078,DebtCon,Other,9,0,0,240.9081,0,17,31.75405
0,12800,56516,78392,HomeImp,Other,0,0,1,195.7233,0,13,27.33744
1,12800,40932,72172,DebtCon,Other,20,0,0,162.044,0,16,37.51837
0,12800,100241,113073,DebtCon,Other,17,0,1,197.2737,1,15,39.46759
0,12800,73624,103213,DebtCon,Other,10,0,0,201.6508,0,20,19.55727
0,12800,,,,,,,,,,,25.13245
0,12800,,,,,,,,,,,24.65967
0,12800,206527,227737,HomeImp,ProfExe,11,0,0,225.2013,0,22,31.12184
1,12800,54151,83828,DebtCon,Other,13,0,0,132.1603,0,16,23.47743
1,12800,81030,100333,DebtCon,Mgr,11,0,1,80.14894,4,29,42.31937
0,12800,67867,78660,DebtCon,Other,3,,,159.8015,,34,30.01091
0,12800,48437,65311,DebtCon,Other,0,1,0,260.5552,0,21,29.51629
1,12800,51800,68000,HomeImp,ProfExe,6,,,,,,
1,12800,111000,124500,DebtCon,Sales,7,1,0,203.9,2,40,
0,12800,76783,95007,DebtCon,Mgr,6,0,0,140.972,2,26,42.15362
0,12800,58592,87002,DebtCon,Office,13,0,0,139.5308,0,24,37.53108
0,12800,11986,48309,HomeImp,Office,23,0,0,265.2271,0,20,28.49386
0,12800,46043,62531,DebtCon,Other,4,0,0,183.9821,0,13,26.1008
0,12800,42801,51123,HomeImp,Other,23,0,1,127.8397,0,22,39.38959
1,12800,67060,83989,DebtCon,Office,9,,3,116.4668,2,24,43.57231
0,12800,91040,114331,DebtCon,Other,12,0,0,175.8774,0,26,34.74719
0,12800,71531,87256,HomeImp,Office,26,0,0,167.1637,1,14,40.37614
0,12800,75139,105289,HomeImp,ProfExe,8,0,0,151.8512,0,35,31.2107
0,12800,77318,97616,DebtCon,Mgr,6,0,0,125.5348,2,27,39.46266
0,12800,85251,114023,DebtCon,ProfExe,1,1,2,143.6828,0,33,31.91327
0,12800,79151,110583,DebtCon,Other,4,0,0,79.37138,1,13,33.58669
0,12800,29100,39264,HomeImp,Other,7,0,0,93.395,2,12,31.28306
0,12800,81694,101680,DebtCon,Other,0,0,0,159.3541,1,22,40.11158
0,12800,68729,90127,HomeImp,Office,23,0,0,163.9893,1,14,39.42449
0,12900,69770,87000,DebtCon,Other,6,0,0,201.9333,3,19,
1,12900,94000,,DebtCon,Office,8,0,1,205.9333,0,19,
0,12900,34655,57787,,Other,31,0,0,244.9954,0,18,21.4155
0,12900,64245,83823,DebtCon,Office,13,0,0,246.8377,3,36,40.56013
0,12900,39401,53758,HomeImp,Other,22,0,0,118.6464,0,23,38.68944
0,12900,58566,74655,DebtCon,Mgr,5,,,116.7758,,24,39.97705
0,12900,105638,112608,DebtCon,Other,17,0,2,208.3069,2,16,39.67791
0,12900,59191,72716,DebtCon,Other,2,0,0,175.1704,1,17,35.55817
1,12900,29891,76571,HomeImp,Other,2,0,0,29.05867,3,11,31.4585
0,12900,151991,179521,HomeImp,Office,6,0,0,186.8053,0,55,34.19175
0,12900,102905,117694,HomeImp,Office,1,0,0,137.1425,1,21,35.86547
0,12900,92734,114285,HomeImp,Mgr,11,0,0,236.0528,0,24,28.66342
0,12900,87270,97929,HomeImp,ProfExe,0,0,0,65.1075,1,20,34.69637
0,12900,90646,100744,HomeImp,Other,19,0,0,141.2085,3,23,31.52638
0,12900,66126,84472,DebtCon,Other,2,,,187.1792,,34,29.99504
0,12900,67038,110955,DebtCon,Office,9,0,0,147.1974,0,12,37.08599
0,12900,89510,102628,HomeImp,Other,20,0,0,117.8572,3,24,28.53735
1,12900,46266,62000,DebtCon,Other,7,0,0,77.13333,5,18,
0,12900,83886,100782,HomeImp,ProfExe,5,0,0,115.0762,1,27,27.97971
0,12900,31498,42695,HomeImp,Mgr,14,0,0,55.02159,0,9,31.99275
0,12900,149297,177044,HomeImp,Office,4,0,0,205.8739,0,56,34.97573
1,12900,117900,143433,DebtCon,Mgr,6,0,0,227.9329,0,35,47.61976
0,12900,55673,64582,DebtCon,Other,4,0,0,163.4166,0,14,26.98744
0,12900,88304,122178,DebtCon,Office,10,0,0,223.4549,0,12,41.42996
0,12900,50636,57838,DebtCon,Other,0,1,0,187.8253,1,13,28.81347
0,12900,52353,62740,DebtCon,Other,2,0,0,167.5155,0,13,37.35758
0,12900,89492,110007,HomeImp,ProfExe,10,0,2,169.192,0,28,32.82004
0,12900,19688,77998,DebtCon,ProfExe,20,0,2,407.2612,0,12,22.83908
0,12900,70167,90812,HomeImp,Office,25,0,0,177.0806,2,13,40.2257
0,12900,45215,66162,DebtCon,Other,4,0,0,170.7645,0,14,39.24801
0,12900,56957,73181,HomeImp,Other,29,1,3,179.0962,1,23,36.3948
0,12900,56798,71364,DebtCon,Other,1,0,0,225.5858,0,9,33.02128
0,12900,61031,71550,HomeImp,Other,28,0,2,178.0873,0,23,34.80243
0,12900,18106,37881,DebtCon,Mgr,8,0,0,134.3841,0,10,20.51596
1,13000,64499,86000,HomeImp,Other,1,0,0,109.4,0,19,
0,13000,15374,59309,HomeImp,Other,6,2,0,355.1312,1,21,15.82362
0,13000,27787,44901,DebtCon,Other,8,,1,166.7263,7,28,38.35513
0,13000,81972,102295,HomeImp,ProfExe,5,0,0,107.4206,0,26,24.72083
0,13000,,28981,HomeImp,,28,0,0,203.9029,0,4,25.74093
0,13000,61509,77065,DebtCon,Other,6,0,0,172.8545,2,17,35.39086
0,13000,80587,110064,DebtCon,Other,6,0,0,85.0092,1,13,33.99004
0,13000,72931,96803,DebtCon,Other,6,0,0,208.6729,2,18,41.05224
1,13000,29461,49326,HomeImp,ProfExe,11,0,0,171.5977,1,8,38.918
0,13000,78766,106450,HomeImp,ProfExe,6,0,0,107.9513,0,26,24.87099
0,13000,49268,72430,DebtCon,ProfExe,19,0,0,192.3645,0,15,23.6171
0,13000,39386,53149,DebtCon,Other,4,0,0,110.478,1,16,38.52176
0,13000,67395,94355,DebtCon,Office,8,0,0,214.4845,3,28,40.97047
0,13000,53951,70095,HomeImp,Other,28,0,3,212.3869,1,24,36.72874
0,13000,,72175,HomeImp,Other,,0,0,367.94,0,6,36.56114
0,13000,29196,42682,DebtCon,Other,9,,0,143.1081,6,28,37.2984
0,13000,96172,112123,DebtCon,ProfExe,14,0,0,181.8918,1,18,36.22557
0,13000,88614,116994,HomeImp,ProfExe,13,0,2,188.8242,0,28,32.6195
0,13000,16913,48587,HomeImp,Office,23,0,0,264.9922,0,20,30.62264
1,13000,125969,144076,DebtCon,Other,4,0,0,110.1932,2,30,48.97773
1,13000,70000,90704,DebtCon,Other,15,0,3,142.1667,0,37,
1,13000,34000,65000,HomeImp,Other,4.5,0,1,148.5,2,24,
0,13000,38200,64764,HomeImp,ProfExe,4,0,0,211.0667,3,18,
0,13000,6793,47700,DebtCon,ProfExe,4,0,0,304.3667,0,16,
0,13000,59000,83187,HomeImp,Other,,0,0,292.1,0,20,
0,13000,61612,99132,HomeImp,ProfExe,8,0,0,262.7333,1,12,
0,13000,,25425,DebtCon,Other,13,,,90.93333,2,9,
0,13000,20200,37245,DebtCon,ProfExe,21,0,1,199.9,2,16,
1,13000,7200,24869,HomeImp,Other,0.7,9,1,193.8,0,9,
1,13000,41193,58000,DebtCon,Other,18,3,2,66.93333,4,7,
1,13000,36223,,DebtCon,Other,9,1,0,132.8667,0,14,
1,13000,43744,60000,DebtCon,Self,22,0,1,21.26667,1,15,
1,13000,94941,120000,DebtCon,ProfExe,0.1,0,0,132.8667,0,21,
1,13000,137618,159000,DebtCon,ProfExe,9,2,6,106.5333,6,37,
1,13000,47000,60000,HomeImp,Self,1,0,0,,3,12,
1,13000,177000,200000,DebtCon,Mgr,3,0,2,195.8333,1,50,
1,13000,60000,86400,DebtCon,Other,12,0,2,149.1667,0,28,
1,13000,111000,137813,,Mgr,6,2,2,138.3333,3,65,
1,13000,152029,173750,HomeImp,ProfExe,20,0,0,19.33333,7,5,
0,13000,26863,44218,HomeImp,Other,10,0,0,92.99959,2,11,29.11294
0,13000,110094,145807,DebtCon,ProfExe,2,0,0,285.2759,0,45,35.04547
0,13000,66014,85528,DebtCon,Office,4,2,3,185.645,2,30,39.41872
0,13000,61865,72045,DebtCon,ProfExe,0,0,0,172.6967,2,34,42.56558
0,13000,,25552,HomeImp,,28,0,0,198.0728,0,5,25.50782
0,13000,77355,114400,,,,,,,,,
0,13000,44875,57713,DebtCon,Other,0,1,0,184.9903,1,12,28.60208
0,13000,110097,210595,HomeImp,ProfExe,3,0,0,122.6387,0,15,29.32751
0,13000,60719,73677,,Other,11,0,0,256.7104,0,26,27.31011
0,13000,80277,106799,DebtCon,Other,3,0,0,67.11167,2,14,37.29777
0,13000,40996,58938,DebtCon,Mgr,,,,,,,35.80961
0,13100,48153,70059,DebtCon,Other,11,0,0,242.6505,0,18,30.89312
0,13100,70878,86743,DebtCon,ProfExe,10,0,0,174.8817,0,11,39.78441
0,13100,74832,98616,HomeImp,ProfExe,6,0,0,101.3623,1,26,27.02148
0,13100,59608,72561,HomeImp,Other,30,1,2,195.5387,1,24,36.61107
0,13100,69259,75149,DebtCon,Office,11,0,0,240.4103,3,37,40.7356
1,13100,,,HomeImp,ProfExe,0.75,,,,,,
0,13100,64897,81598,DebtCon,Sales,7,0,0,130.6485,0,34,26.50011
0,13100,,47568,HomeImp,Other,0,0,0,319.5959,0,8,25.83679
1,13100,22422,34800,HomeImp,Office,2.6,2,0,93.3,1,3,
0,13100,82411,103833,HomeImp,Other,21,0,0,135.863,4,24,29.21583
0,13100,70368,87407,DebtCon,Other,2,0,0,232.9947,3,26,29.66799
0,13100,,65933,,,0,0,0,,0,0,3.657371
0,13100,50552,59889,DebtCon,Other,4,0,0,178.6124,0,13,38.76331
0,13100,73987,106557,DebtCon,Office,9,0,0,149.4525,1,13,37.00853
0,13100,61853,73480,,Other,13,0,0,258.9372,0,26,28.73085
0,13100,97287,123281,DebtCon,Other,9,0,0,162.9937,0,26,34.17835
0,13100,59460,72387,HomeImp,Other,29,1,2,182.1818,0,24,34.78513
1,13100,54000,74750,DebtCon,Other,14,1,0,92.4,0,9,
0,13100,58039,68558,HomeImp,Other,29,1,2,184.88,1,23,37.34735
0,13100,44817,59544,DebtCon,Other,,0,0,71.4617,0,15,41.60981
0,13200,155478,183646,HomeImp,Office,5,0,0,196.2414,1,55,35.60288
0,13200,,69139,,,0,1,0,,0,1,1.565931
0,13200,70069,88303,DebtCon,Other,3,0,0,240.856,2,25,29.06413
0,13200,69195,79252,DebtCon,Office,13,0,0,248.7881,3,37,41.9056
0,13200,69697,91722,HomeImp,Office,24,1,0,183.5237,1,14,39.75217
0,13200,58549,81381,DebtCon,Office,13,0,0,94.68711,0,24,38.41276
0,13200,15346,30809,DebtCon,Office,7,0,1,89.65254,0,16,18.10528
1,13200,65372,81426,DebtCon,Other,4,,1,102.6208,3,29,38.93417
1,13200,65997,88000,DebtCon,Other,2,0,0,113.2333,2,25,
0,13200,93254,125738,HomeImp,Mgr,3,0,3,156.5455,0,25,42.73667
0,13200,22270,38437,DebtCon,Office,5,0,1,107.7734,0,17,20.6432
0,13200,77241,112904,DebtCon,Other,5,0,0,68.54905,2,14,34.53524
0,13200,81654,114333,DebtCon,Other,5,0,0,97.96296,1,13,33.74337
0,13200,71775,80480,DebtCon,Other,0,0,0,240.6436,3,25,29.26799
0,13200,28428,34477,DebtCon,Other,0,,,,,,39.37026
0,13200,59422,88308,HomeImp,Other,,0,0,294.7821,0,19,29.95255
0,13200,117985,138969,DebtCon,ProfExe,16,,1,178.0648,0,33,29.95423
1,13300,58000,75000,DebtCon,Mgr,6.6,0,1,226.2,1,33,
0,13300,96201,124892,HomeImp,Mgr,3,0,3,178.0345,0,26,40.10275
0,13300,76663,96022,DebtCon,ProfExe,10,2,0,180.0295,1,30,27.04501
0,13300,80059,121790,,,,,,,,,34.56183
0,13300,61414,72101,,Other,12,0,0,260.0716,0,27,27.28688
0,13300,81944,108768,DebtCon,Other,5,0,0,81.1068,1,13,33.86964
1,13300,67483,85454,DebtCon,ProfExe,16,0,2,335.9893,1,14,30.37586
1,13300,60014,75695,DebtCon,Sales,1,0,,182.0644,1,20,40.20667
0,13300,64002,88174,DebtCon,Other,3,,,157.917,,34,29.79823
0,13300,,72583,,,1,0,0,,0,0,3.720421
0,13300,35000,44195,HomeImp,Other,8,0,0,91.92353,0,4,35.24312
0,13300,14212,57608,DebtCon,ProfExe,3,0,0,322.0045,0,16,15.91677
0,13300,57878,69907,DebtCon,ProfExe,1,0,0,154.4848,2,35,41.11915
1,13300,45860,63500,HomeImp,ProfExe,7,0,0,127.7667,4,9,
0,13300,153411,182014,DebtCon,ProfExe,7,,0,198.3916,3,25,41.98712
0,13300,44509,72292,HomeImp,ProfExe,3,0,0,208.9207,3,17,37.05572
0,13300,38232,59482,DebtCon,Mgr,,,,,,,36.0271
